  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
 166.3    -85.4     88.42 0.390         0.0      0.0      0.0   5634         
 162.0    -86.5     87.32 0.385         0.0      0.0      0.0   5657         
 157.5    -88.4     85.42 0.377         0.0      0.0      0.0   5680         
 152.9    -89.3     84.52 0.373         0.0      0.0      0.0   5703         
 147.8    -91.6     82.18 0.363         0.0      0.0      0.0   5726         
 143.0    -91.8     81.98 0.362         0.0      0.0      0.0   5749         
 138.5    -94.1     79.63 0.352         0.0      0.0      0.0   5772         
 133.1    -95.2     78.56 0.347         0.0      0.0      0.0   5795         
 128.6    -94.7     78.96 0.349         0.0      0.0      0.0   5817         
 123.8    -95.4     78.27 0.346         0.0      0.0      0.0   5840         
 119.3    -96.6     77.06 0.340         0.0      0.0      0.0   5863         
 114.8    -97.9     75.75 0.334         0.0      0.0      0.0   5886         
 110.8    -97.8     75.82 0.335         0.0      0.0      0.0   5909         
 106.6    -97.9     75.70 0.334         0.0      0.0      0.0   5932         
 102.6    -99.5     74.07 0.327         0.0      0.0      0.0   5954         
  98.9    -99.9     73.71 0.325         0.0      0.0      0.0   5977         
  94.7   -101.0     72.62 0.321         0.0      0.0      0.0   6000         
  90.8   -101.8     71.87 0.317         0.0      0.0      0.0   6023         
  87.1   -102.1     71.56 0.316         0.0      0.0      0.0   6046         
  83.4   -102.9     70.79 0.312         0.0      0.0      0.0   6068         
  80.0   -103.7     69.98 0.309         0.0      0.0      0.0   6091         
  76.4   -104.1     69.57 0.307         0.0      0.0      0.0   6114         
  72.9   -104.2     69.56 0.307         0.0      0.0      0.0   6137         
  69.8   -104.5     69.31 0.306         0.0      0.0      0.0   6159         
  66.7   -105.1     68.75 0.303         0.0      0.0      0.0   6182         
  63.3   -105.5     68.34 0.302         0.0      0.0      0.0   6205         
  60.2   -105.8     68.01 0.300         0.0      0.0      0.0   6228         
  57.3   -106.5     67.30 0.297         0.0      0.0      0.0   6251         
  54.7   -106.1     67.72 0.299         0.0      0.0      0.0   6274         
  51.8   -106.4     67.37 0.297         0.0      0.0      0.0   6296         
  49.8   -106.4     67.38 0.297         0.0      0.0      0.0   6319         
  47.4   -107.0     66.78 0.295         0.0      0.0      0.0   6342         
  45.3   -107.5     66.28 0.293         0.0      0.0      0.0   6365         
  43.3   -106.7     67.08 0.296         0.0      0.0      0.0   6388         
  41.5   -106.8     66.98 0.296         0.0      0.0      0.0   6411         
  39.9   -106.4     67.38 0.297         0.0      0.0      0.0   6433         
