  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
 380.2   -148.6     25.81 0.247         0.0      0.0      0.0   4595         
 375.0   -148.9     25.50 0.244         0.0      0.0      0.0   4618         
 369.8   -149.0     25.37 0.243         0.0      0.0      0.0   4642         
 365.0   -148.4     25.96 0.249         0.0      0.0      0.0   4664         
 360.1   -148.9     25.42 0.244         0.0      0.0      0.0   4687         
 354.4   -148.6     25.73 0.247         0.0      0.0      0.0   4710         
 349.2   -148.8     25.49 0.244         0.0      0.0      0.0   4733         
 344.4   -148.8     25.47 0.244         0.0      0.0      0.0   4756         
 339.5   -149.0     25.22 0.242         0.0      0.0      0.0   4779         
 334.7   -149.2     25.07 0.240         0.0      0.0      0.0   4801         
 329.0   -150.4     23.89 0.229         0.0      0.0      0.0   4824         
 323.6   -152.2     22.10 0.212         0.0      0.0      0.0   4847         
 318.0   -152.8     21.51 0.206         0.0      0.0      0.0   4870         
 312.1   -152.7     21.65 0.208         0.0      0.0      0.0   4893         
 306.7   -153.1     21.20 0.203         0.0      0.0      0.0   4916         
 301.1   -153.0     21.28 0.204         0.0      0.0      0.0   4939         
 295.7   -153.2     21.07 0.202         0.0      0.0      0.0   4962         
 290.7   -153.6     20.75 0.199         0.0      0.0      0.0   4984         
 285.4   -153.5     20.82 0.200         0.0      0.0      0.0   5007         
 280.6   -153.6     20.73 0.199         0.0      0.0      0.0   5030         
 275.6   -153.5     20.72 0.199         0.0      0.0      0.0   5053         
 270.6   -153.6     20.61 0.198         0.0      0.0      0.0   5076         
 265.3   -153.9     20.27 0.194         0.0      0.0      0.0   5098         
 260.0   -154.2     19.95 0.191         0.0      0.0      0.0   5121         
 254.8   -154.2     19.86 0.190         0.0      0.0      0.0   5144         
 249.5   -154.4     19.68 0.189         0.0      0.0      0.0   5166         
 244.0   -154.3     19.72 0.189         0.0      0.0      0.0   5189         
 238.8   -154.2     19.80 0.190         0.0      0.0      0.0   5212         
 233.3   -154.5     19.54 0.187         0.0      0.0      0.0   5235         
 228.0   -154.7     19.34 0.185         0.0      0.0      0.0   5258         
 222.3   -154.5     19.51 0.187         0.0      0.0      0.0   5280         
 216.5   -154.8     19.22 0.184         0.0      0.0      0.0   5303         
 210.8   -154.7     19.30 0.185         0.0      0.0      0.0   5326         
 205.3   -155.0     19.01 0.182         0.0      0.0      0.0   5349         
 199.9   -155.0     18.97 0.182         0.0      0.0      0.0   5371         
 195.0   -154.7     19.28 0.185         0.0      0.0      0.0   5394         
 189.8   -155.0     18.92 0.181         0.0      0.0      0.0   5417         
 185.0   -155.3     18.57 0.178         0.0      0.0      0.0   5440         
 180.4   -155.0     18.87 0.181         0.0      0.0      0.0   5462         
 175.8   -155.4     18.48 0.177         0.0      0.0      0.0   5485         
 171.5   -155.1     18.76 0.180         0.0      0.0      0.0   5508         
 167.1   -155.2     18.64 0.179         0.0      0.0      0.0   5531         
 162.6   -154.9     18.88 0.181         0.0      0.0      0.0   5554         
 157.7   -155.0     18.82 0.180         0.0      0.0      0.0   5577         
 152.9   -155.0     18.82 0.180         0.0      0.0      0.0   5600         
 147.6   -155.4     18.43 0.177         0.0      0.0      0.0   5623         
 142.7   -155.5     18.28 0.175         0.0      0.0      0.0   5646         
 137.7   -154.6     19.17 0.184         0.0      0.0      0.0   5668         
 132.6   -155.6     18.11 0.174         0.0      0.0      0.0   5691         
 127.5   -155.3     18.39 0.176         0.0      0.0      0.0   5714         
 122.8   -155.6     18.07 0.173         0.0      0.0      0.0   5736         
 118.0   -155.9     17.75 0.170         0.0      0.0      0.0   5759         
 113.7   -155.6     18.05 0.173         0.0      0.0      0.0   5782         
 109.5   -155.5     18.11 0.174         0.0      0.0      0.0   5805         
 105.5   -155.5     18.10 0.173         0.0      0.0      0.0   5827         
 101.6   -155.6     17.97 0.172         0.0      0.0      0.0   5850         
  97.4   -155.5     18.13 0.174         0.0      0.0      0.0   5873         
  93.4   -155.5     18.13 0.174         0.0      0.0      0.0   5896         
