  TEMP    TSUSC     CSUSC	 NSUSC       BULKS    FERRT    FERRB   TIME  jrpsept
 640.2   -121.3     57.13	 0.426         0.0      0.0      0.0   2692         
 644.6   -123.1     55.28	 0.412         0.0      0.0      0.0   2715         
 649.7   -124.1     54.39	 0.406         0.0      0.0      0.0   2738         
 654.7   -125.8     52.72	 0.393         0.0      0.0      0.0   2761         
 659.5   -127.2     51.39	 0.383         0.0      0.0      0.0   2783         
 664.0   -127.7     50.95	 0.380         0.0      0.0      0.0   2806         
 669.4   -129.7     49.02	 0.366         0.0      0.0      0.0   2829         
 674.2   -129.8     48.88	 0.365         0.0      0.0      0.0   2852         
 679.0   -131.7     47.01	 0.351         0.0      0.0      0.0   2875         
 683.2   -132.4     46.30	 0.345         0.0      0.0      0.0   2898         
 688.0   -133.4     45.19	 0.337         0.0      0.0      0.0   2920         
 691.5   -134.9     43.85	 0.327         0.0      0.0      0.0   2943         
 695.4   -135.5     43.20	 0.322         0.0      0.0      0.0   2966         
 698.3   -136.2     42.37	 0.316         0.0      0.0      0.0   2989         
 699.3   -136.4     42.18	 0.315         0.0      0.0      0.0   3011         
 699.6   -137.9     40.68	 0.303         0.0      0.0      0.0   3034         
 700.5   -138.7     39.88	 0.297         0.0      0.0      0.0   3057         
 700.2   -138.6     39.98	 0.298         0.0      0.0      0.0   3081         
 700.9   -138.2     40.38	 0.301         0.0      0.0      0.0   3103         
 703.8   -138.9     39.68	 0.296         0.0      0.0      0.0   3126         
 706.0   -139.8     38.78	 0.289         0.0      0.0      0.0   3149         
 706.0   -139.4     39.18	 0.292         0.0      0.0      0.0   3172         
 706.0   -140.3     38.28	 0.285         0.0      0.0      0.0   3195         
 704.1   -140.8     37.78	 0.282         0.0      0.0      0.0   3218         
 701.8   -141.0     37.58	 0.280         0.0      0.0      0.0   3241         
 698.6   -140.7     37.88	 0.282         0.0      0.0      0.0   3263         
 694.1   -140.2     38.39	 0.286         0.0      0.0      0.0   3286         
 691.2   -140.2     38.45	 0.287         0.0      0.0      0.0   3309         
 687.0   -139.8     38.84	 0.290         0.0      0.0      0.0   3332         
 683.5   -139.2     39.32	 0.293         0.0      0.0      0.0   3355         
 679.3   -139.9     38.53	 0.287         0.0      0.0      0.0   3378         
 675.5   -138.7     39.81	 0.297         0.0      0.0      0.0   3401         
 671.9   -139.4     38.96	 0.291         0.0      0.0      0.0   3424         
 667.5   -138.7     39.68	 0.296         0.0      0.0      0.0   3447         
 663.3   -138.3     39.99	 0.298         0.0      0.0      0.0   3469         
 659.5   -139.0     39.34	 0.293         0.0      0.0      0.0   3492         
 654.7   -138.6     39.74	 0.296         0.0      0.0      0.0   3515         
 650.6   -137.5     40.76	 0.304         0.0      0.0      0.0   3538         
 646.5   -137.7     40.49	 0.302         0.0      0.0      0.0   3561         
 642.7   -137.1     41.10	 0.306         0.0      0.0      0.0   3584         
 638.6   -137.4     40.73	 0.304         0.0      0.0      0.0   3606         
 634.2   -136.6     41.46	 0.309         0.0      0.0      0.0   3629         
 630.1   -136.4     41.65	 0.311         0.0      0.0      0.0   3652         
 626.3   -136.7     41.25	 0.308         0.0      0.0      0.0   3675         
 622.2   -136.1     41.84	 0.312         0.0      0.0      0.0   3698         
 617.8   -136.1     41.84	 0.312         0.0      0.0      0.0   3721         
 613.1   -135.5     42.46	 0.317         0.0      0.0      0.0   3744         
 608.4   -135.5     42.41	 0.316         0.0      0.0      0.0   3766         
 604.1   -135.4     42.50	 0.317         0.0      0.0      0.0   3789         
 598.8   -135.6     42.21	 0.315         0.0      0.0      0.0   3812         
 593.5   -134.5     43.27	 0.323         0.0      0.0      0.0   3835         
 588.5   -133.9     43.90	 0.327         0.0      0.0      0.0   3858         
 583.6   -133.8     43.94	 0.328         0.0      0.0      0.0   3881         
 578.6   -133.4     44.30	 0.330         0.0      0.0      0.0   3904         
 573.7   -132.5     45.17	 0.337         0.0      0.0      0.0   3927         
 568.8   -131.4     46.24	 0.345         0.0      0.0      0.0   3950         
 564.4   -130.0     47.55	 0.355         0.0      0.0      0.0   3973         
 559.5   -128.7     48.83	 0.364         0.0      0.0      0.0   3996         
 554.6   -126.8     50.74	 0.378         0.0      0.0      0.0   4019         
 549.7   -125.9     51.67	 0.385         0.0      0.0      0.0   4041         
 544.8   -124.6     52.96	 0.395         0.0      0.0      0.0   4064         
 539.7   -123.7     53.86	 0.402         0.0      0.0      0.0   4087         
 535.1   -122.4     55.04	 0.410         0.0      0.0      0.0   4110         
 530.5   -121.7     55.63	 0.415         0.0      0.0      0.0   4133         
 526.0   -121.7     55.68	 0.415         0.0      0.0      0.0   4156         
 520.8   -120.9     56.46	 0.421         0.0      0.0      0.0   4179         
 515.7   -121.0     56.27	 0.420         0.0      0.0      0.0   4202         
 510.9   -120.4     56.94	 0.425         0.0      0.0      0.0   4225         
 506.0   -120.2     57.18	 0.426         0.0      0.0      0.0   4247         
 500.9   -120.1     57.15	 0.426         0.0      0.0      0.0   4270         
 495.8   -119.6     57.57	 0.429         0.0      0.0      0.0   4293         
 490.7   -119.3     57.88	 0.432         0.0      0.0      0.0   4316         
 485.6   -118.5     58.68	 0.438         0.0      0.0      0.0   4338         
 480.2   -118.5     58.62	 0.437         0.0      0.0      0.0   4361         
 475.8   -117.8     59.31	 0.442         0.0      0.0      0.0   4384         
 471.0   -117.4     59.72	 0.445         0.0      0.0      0.0   4407         
 466.0   -116.9     60.25	 0.449         0.0      0.0      0.0   4430         
 460.9   -116.6     60.54	 0.451         0.0      0.0      0.0   4452         
 455.3   -116.5     60.71	 0.453         0.0      0.0      0.0   4475         
 450.3   -117.0     60.08	 0.448         0.0      0.0      0.0   4498         
 445.0   -116.7     60.35	 0.450         0.0      0.0      0.0   4521         
 439.9   -116.7     60.28	 0.450         0.0      0.0      0.0   4544         
 434.9   -116.7     60.22	 0.449         0.0      0.0      0.0   4567         
 430.0   -116.7     60.23	 0.449         0.0      0.0      0.0   4590         
 424.7   -117.0     59.94	 0.447         0.0      0.0      0.0   4613         
 419.7   -117.2     59.71	 0.445         0.0      0.0      0.0   4635         
 414.7   -117.3     59.62	 0.445         0.0      0.0      0.0   4658         
 409.8   -116.8     60.19	 0.449         0.0      0.0      0.0   4681         
 404.5   -117.1     59.86	 0.446         0.0      0.0      0.0   4704         
 399.3   -117.6     59.36	 0.443         0.0      0.0      0.0   4727         
 394.1   -117.7     59.22	 0.442         0.0      0.0      0.0   4750         
 389.2   -118.3     58.68	 0.438         0.0      0.0      0.0   4773         
 384.5   -118.5     58.46	 0.436         0.0      0.0      0.0   4796         
 379.6   -119.2     57.69	 0.430         0.0      0.0      0.0   4819         
 374.4   -119.0     58.00	 0.432         0.0      0.0      0.0   4842         
 369.3   -118.9     58.02	 0.433         0.0      0.0      0.0   4864         
 363.8   -119.6     57.30	 0.427         0.0      0.0      0.0   4887         
 358.7   -120.1     56.71	 0.423         0.0      0.0      0.0   4910         
 353.5   -119.8     57.10	 0.426         0.0      0.0      0.0   4933         
 348.1   -120.2     56.64	 0.422         0.0      0.0      0.0   4956         
 342.9   -120.5     56.43	 0.421         0.0      0.0      0.0   4979         
 337.8   -121.1     55.80	 0.416         0.0      0.0      0.0   5001         
 332.1   -121.4     55.50	 0.414         0.0      0.0      0.0   5024         
 326.8   -121.7     55.16	 0.411         0.0      0.0      0.0   5047         
 321.4   -122.2     54.62	 0.407         0.0      0.0      0.0   5070         
 316.0   -122.3     54.48	 0.406         0.0      0.0      0.0   5093         
 310.4   -122.5     54.30	 0.405         0.0      0.0      0.0   5116         
 305.0   -123.4     53.47	 0.399         0.0      0.0      0.0   5139         
 299.4   -124.1     52.79	 0.394         0.0      0.0      0.0   5162         
 294.3   -124.2     52.73	 0.393         0.0      0.0      0.0   5185         
 289.3   -124.5     52.39	 0.391         0.0      0.0      0.0   5208         
 284.0   -124.9     51.97	 0.388         0.0      0.0      0.0   5230         
 279.0   -125.3     51.58	 0.385         0.0      0.0      0.0   5253         
 273.9   -125.9     50.93	 0.380         0.0      0.0      0.0   5276         
 268.1   -125.6     51.13	 0.381         0.0      0.0      0.0   5299         
 263.1   -126.0     50.76	 0.379         0.0      0.0      0.0   5322         
 257.8   -126.4     50.33	 0.375         0.0      0.0      0.0   5345         
 252.8   -126.4     50.19	 0.374         0.0      0.0      0.0   5368         
 247.9   -127.4     49.15	 0.366         0.0      0.0      0.0   5390         
 242.6   -127.1     49.39	 0.368         0.0      0.0      0.0   5413         
 237.4   -128.1     48.38	 0.361         0.0      0.0      0.0   5436         
 231.9   -128.5     47.96	 0.358         0.0      0.0      0.0   5459         
 226.4   -128.3     48.18	 0.359         0.0      0.0      0.0   5482         
 220.9   -128.4     48.08	 0.359         0.0      0.0      0.0   5504         
 215.2   -128.7     47.92	 0.357         0.0      0.0      0.0   5527         
 209.7   -129.0     47.61	 0.355         0.0      0.0      0.0   5551         
 204.0   -129.1     47.44	 0.354         0.0      0.0      0.0   5574         
