  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
 672.9    -99.8     76.30 0.282         0.0      0.0      0.0   2852         
 678.0    -99.5     76.65 0.283         0.0      0.0      0.0   2875         
 681.9    -99.4     76.68 0.283         0.0      0.0      0.0   2897         
 686.7    -99.4     76.72 0.283         0.0      0.0      0.0   2920         
 691.8    -99.0     77.13 0.285         0.0      0.0      0.0   2943         
 695.7    -99.0     77.14 0.285         0.0      0.0      0.0   2966         
 698.3    -99.1     77.06 0.285         0.0      0.0      0.0   2989         
 700.5    -98.7     77.46 0.286         0.0      0.0      0.0   3012         
 700.5    -97.9     78.26 0.289         0.0      0.0      0.0   3035         
 700.5    -97.7     78.46 0.290         0.0      0.0      0.0   3058         
 700.9    -96.7     79.49 0.294         0.0      0.0      0.0   3081         
 698.9    -96.2     80.00 0.295         0.0      0.0      0.0   3104         
 697.3    -94.9     81.31 0.300         0.0      0.0      0.0   3126         
 694.7    -93.7     82.50 0.305         0.0      0.0      0.0   3149         
 691.8    -92.3     83.87 0.310         0.0      0.0      0.0   3172         
 688.9    -91.2     84.91 0.314         0.0      0.0      0.0   3195         
 686.0    -90.2     85.91 0.317         0.0      0.0      0.0   3217         
 683.2    -88.6     87.49 0.323         0.0      0.0      0.0   3240         
 679.0    -88.1     87.96 0.325         0.0      0.0      0.0   3263         
 674.2    -86.9     89.09 0.329         0.0      0.0      0.0   3286         
 669.1    -85.1     90.86 0.336         0.0      0.0      0.0   3309         
 664.9    -83.5     92.36 0.341         0.0      0.0      0.0   3331         
 661.4    -82.1     93.78 0.346         0.0      0.0      0.0   3354         
 657.0    -81.5     94.26 0.348         0.0      0.0      0.0   3377         
 652.8    -80.0     95.84 0.354         0.0      0.0      0.0   3400         
 649.3    -79.2     96.60 0.357         0.0      0.0      0.0   3423         
 645.5    -78.6     97.13 0.359         0.0      0.0      0.0   3446         
 641.4    -76.7     98.95 0.365         0.0      0.0      0.0   3468         
